candidate_skills,years_experience,education_level,past_job_titles,certifications,expected_salary,candidate_location,job_title,required_skills,min_experience,job_description,budgeted_salary_min,budgeted_salary_max,job_location,is_fit
"Python, TensorFlow, Deep Learning",11,High School,"AI Researcher, Software Developer",DataCamp DS,115330,Seattle,Data Scientist,"Deep Learning, Data Analysis, NLP, Docker, Kubernetes",8,Looking for a motivated individual with strong technical and problem-solving skills.,83368,120712,Remote,0
"Java, TensorFlow, Python",11,PhD,"AI Researcher, Backend Engineer","Coursera NLP, DataCamp DS",77759,San Francisco,Backend Engineer,"Node.js, Data Analysis, NLP, Pandas, SQL",8,Looking for a motivated individual with strong technical and problem-solving skills.,70892,117025,Austin,0
"Java, AWS, Data Analysis",1,Master's,AI Researcher,AWS Certified,145688,Remote,Software Developer,"Java, TensorFlow, Docker",4,Looking for a motivated individual with strong technical and problem-solving skills.,97116,132792,San Francisco,0
"NLP, Pandas, SQL",2,High School,Software Developer,None,86410,New York,Software Developer,"Pandas, Data Analysis, NLP",4,Looking for a motivated individual with strong technical and problem-solving skills.,84400,122177,Austin,0
"Java, AWS, Python",11,Bachelor's,"Software Developer, ML Engineer","AWS Certified, Coursera NLP",114839,Austin,ML Engineer,"Docker, Python, Node.js, TensorFlow, Data Analysis",0,Looking for a motivated individual with strong technical and problem-solving skills.,78624,116185,Austin,0
"SQL, Deep Learning, Java, Pandas, Machine Learning, Docker",1,Master's,"AI Researcher, Data Scientist","None, Google ML Certificate",106834,Seattle,AI Researcher,"Machine Learning, Deep Learning, TensorFlow, Python, NLP",6,Looking for a motivated individual with strong technical and problem-solving skills.,87051,117602,Seattle,0
"Node.js, NLP, AWS, React",3,Master's,"Data Scientist, AI Researcher",AWS Certified,101095,New York,Software Developer,"Java, NLP, Docker",9,Looking for a motivated individual with strong technical and problem-solving skills.,70291,156963,Seattle,0
"Deep Learning, AWS, TensorFlow, Kubernetes",11,PhD,ML Engineer,DataCamp DS,133569,Austin,Backend Engineer,"Pandas, Deep Learning, Data Analysis, Node.js, React",10,Looking for a motivated individual with strong technical and problem-solving skills.,65749,110467,New York,0
"Deep Learning, Docker, Machine Learning, Node.js, TensorFlow",11,High School,"AI Researcher, Backend Engineer",Coursera NLP,74753,New York,Data Scientist,"React, Deep Learning, SQL, Java",2,Looking for a motivated individual with strong technical and problem-solving skills.,74225,124129,Remote,0
"Node.js, Kubernetes, React, SQL, Pandas",11,High School,ML Engineer,"Coursera NLP, DataCamp DS",50646,Seattle,Data Scientist,"Python, Deep Learning, Kubernetes, AWS, Docker",0,Looking for a motivated individual with strong technical and problem-solving skills.,60842,135198,San Francisco,0
"Node.js, Data Analysis, Deep Learning, TensorFlow",11,Bachelor's,Backend Engineer,Coursera NLP,64424,San Francisco,AI Researcher,"Kubernetes, Machine Learning, AWS, Deep Learning",3,Looking for a motivated individual with strong technical and problem-solving skills.,62661,128188,Remote,0
"Data Analysis, Machine Learning, Kubernetes, Deep Learning, Pandas, Node.js",7,PhD,"Software Developer, AI Researcher",Google ML Certificate,62464,New York,ML Engineer,"Machine Learning, Node.js, Pandas, AWS",2,Looking for a motivated individual with strong technical and problem-solving skills.,93107,118211,New York,0
"TensorFlow, Machine Learning, Java, Pandas",8,High School,Software Developer,"Coursera NLP, AWS Certified",137392,San Francisco,Software Developer,"Java, SQL, Docker",9,Looking for a motivated individual with strong technical and problem-solving skills.,68947,122087,Remote,0
"SQL, Deep Learning, Pandas, Python, Machine Learning, Java",8,Bachelor's,"Data Scientist, ML Engineer","AWS Certified, Google ML Certificate",113715,Remote,AI Researcher,"React, Data Analysis, Machine Learning",3,Looking for a motivated individual with strong technical and problem-solving skills.,60398,102606,Remote,0
"Machine Learning, Node.js, Pandas, Java, Docker, Python",3,Master's,ML Engineer,AWS Certified,131675,San Francisco,Software Developer,"NLP, React, Machine Learning",4,Looking for a motivated individual with strong technical and problem-solving skills.,69800,118196,Austin,0
"AWS, NLP, Kubernetes",8,Master's,Backend Engineer,Google ML Certificate,136913,Austin,Backend Engineer,"Docker, TensorFlow, Machine Learning",6,Looking for a motivated individual with strong technical and problem-solving skills.,61503,127929,New York,0
"Docker, Python, Kubernetes",7,Bachelor's,"Software Developer, ML Engineer",Google ML Certificate,126797,Remote,Data Scientist,"Java, TensorFlow, SQL",2,Looking for a motivated individual with strong technical and problem-solving skills.,65433,151482,New York,0
"AWS, Pandas, SQL",9,Bachelor's,"Data Scientist, Backend Engineer","Coursera NLP, AWS Certified",96650,Remote,AI Researcher,"Node.js, TensorFlow, Python, React",6,Looking for a motivated individual with strong technical and problem-solving skills.,67877,120861,Seattle,0
"Machine Learning, Deep Learning, Docker",10,Bachelor's,Backend Engineer,"DataCamp DS, Coursera NLP",86609,Austin,Software Developer,"NLP, Python, TensorFlow, AWS",9,Looking for a motivated individual with strong technical and problem-solving skills.,68884,103036,San Francisco,0
"Java, React, Pandas, AWS",10,High School,"Backend Engineer, ML Engineer",Google ML Certificate,138356,New York,ML Engineer,"Node.js, Machine Learning, Kubernetes, TensorFlow, Java",2,Looking for a motivated individual with strong technical and problem-solving skills.,82047,123434,Austin,0
"TensorFlow, Kubernetes, Python, SQL, Docker, Data Analysis",8,Master's,"ML Engineer, Data Scientist","DataCamp DS, None",63064,Seattle,ML Engineer,"Deep Learning, Node.js, Kubernetes, SQL, Python",1,Looking for a motivated individual with strong technical and problem-solving skills.,65342,107893,Remote,0
"Kubernetes, Deep Learning, Node.js",9,Bachelor's,Software Developer,None,118689,Austin,AI Researcher,"AWS, TensorFlow, Python, Node.js",8,Looking for a motivated individual with strong technical and problem-solving skills.,70867,114252,Remote,0
"NLP, Node.js, AWS, Kubernetes, React, SQL",12,PhD,Software Developer,DataCamp DS,56987,Austin,Backend Engineer,"React, Data Analysis, Docker, NLP, AWS",1,Looking for a motivated individual with strong technical and problem-solving skills.,71745,112158,Austin,0
"AWS, Deep Learning, React, Pandas, SQL",7,PhD,AI Researcher,"Coursera NLP, None",125306,Austin,Data Scientist,"Java, NLP, Docker",7,Looking for a motivated individual with strong technical and problem-solving skills.,69112,131178,Seattle,0
"Deep Learning, Docker, Python, Kubernetes, TensorFlow",9,Master's,"AI Researcher, Software Developer","Google ML Certificate, None",119313,New York,Backend Engineer,"NLP, SQL, Kubernetes, Data Analysis, Java",3,Looking for a motivated individual with strong technical and problem-solving skills.,73606,128540,Austin,0
"SQL, Node.js, Machine Learning, Deep Learning, NLP",3,PhD,"Data Scientist, AI Researcher",Coursera NLP,105796,Remote,Backend Engineer,"Data Analysis, Deep Learning, NLP",9,Looking for a motivated individual with strong technical and problem-solving skills.,95322,148123,San Francisco,0
"AWS, Kubernetes, Deep Learning",9,High School,ML Engineer,"DataCamp DS, Coursera NLP",146053,Austin,Data Scientist,"SQL, Pandas, TensorFlow, Node.js",0,Looking for a motivated individual with strong technical and problem-solving skills.,84275,133125,Austin,0
"TensorFlow, React, Pandas, SQL, Python",7,PhD,AI Researcher,None,84676,Remote,Data Scientist,"Java, Kubernetes, Pandas",9,Looking for a motivated individual with strong technical and problem-solving skills.,77269,147477,Austin,0
"SQL, Java, Kubernetes, Data Analysis, NLP, Machine Learning",1,Master's,"AI Researcher, Software Developer",DataCamp DS,101158,Seattle,ML Engineer,"Java, SQL, React",2,Looking for a motivated individual with strong technical and problem-solving skills.,61885,140693,Seattle,0
"NLP, React, Deep Learning, Python",4,Bachelor's,Software Developer,"None, DataCamp DS",101200,Austin,Software Developer,"Docker, Machine Learning, Deep Learning, NLP",2,Looking for a motivated individual with strong technical and problem-solving skills.,71126,150100,Remote,1
"Deep Learning, Node.js, SQL, Pandas",12,Master's,"Software Developer, Backend Engineer","AWS Certified, None",143821,Austin,Software Developer,"Java, NLP, Kubernetes, Pandas, Machine Learning",10,Looking for a motivated individual with strong technical and problem-solving skills.,91342,114549,New York,0
"Docker, SQL, Machine Learning, Data Analysis, AWS, Kubernetes",3,PhD,"ML Engineer, Data Scientist",None,87258,New York,Backend Engineer,"TensorFlow, Pandas, Data Analysis, SQL",5,Looking for a motivated individual with strong technical and problem-solving skills.,70660,105008,Austin,0
"Deep Learning, Node.js, Kubernetes",1,High School,"Data Scientist, ML Engineer",Google ML Certificate,87111,Austin,Software Developer,"Java, Pandas, Docker",8,Looking for a motivated individual with strong technical and problem-solving skills.,90437,151217,Seattle,0
"Kubernetes, NLP, Node.js, SQL, AWS",2,Bachelor's,Data Scientist,"DataCamp DS, AWS Certified",97696,Remote,ML Engineer,"Deep Learning, Machine Learning, React, AWS, TensorFlow",6,Looking for a motivated individual with strong technical and problem-solving skills.,63755,101096,San Francisco,0
"Python, React, Kubernetes, Deep Learning",4,Bachelor's,AI Researcher,"Google ML Certificate, AWS Certified",125688,New York,Software Developer,"Node.js, Kubernetes, Data Analysis, Deep Learning, Docker",0,Looking for a motivated individual with strong technical and problem-solving skills.,73626,108961,New York,0
"TensorFlow, Deep Learning, Python",0,Bachelor's,Data Scientist,"DataCamp DS, AWS Certified",113997,Seattle,Data Scientist,"AWS, Data Analysis, Deep Learning",8,Looking for a motivated individual with strong technical and problem-solving skills.,97925,130867,Remote,0
"Deep Learning, Kubernetes, Pandas, Data Analysis",1,Master's,"Data Scientist, Backend Engineer",DataCamp DS,111947,Remote,ML Engineer,"Python, TensorFlow, Docker, NLP, Java",4,Looking for a motivated individual with strong technical and problem-solving skills.,63257,149447,Austin,0
"Docker, Python, SQL, Machine Learning, NLP",9,Bachelor's,"Backend Engineer, Data Scientist","Coursera NLP, Google ML Certificate",58795,Remote,ML Engineer,"React, Docker, Python",9,Looking for a motivated individual with strong technical and problem-solving skills.,60822,138255,Austin,0
"NLP, Kubernetes, Data Analysis, React, Deep Learning",1,Master's,Software Developer,"Coursera NLP, DataCamp DS",120157,Austin,Software Developer,"Kubernetes, React, Docker, Java, Data Analysis",4,Looking for a motivated individual with strong technical and problem-solving skills.,63000,159027,New York,0
"Java, Docker, SQL",6,Bachelor's,Backend Engineer,"Google ML Certificate, Coursera NLP",85961,Seattle,ML Engineer,"Machine Learning, AWS, Node.js, Deep Learning, Data Analysis",10,Looking for a motivated individual with strong technical and problem-solving skills.,66866,112109,Seattle,0
"Python, Node.js, Pandas, Java, React",2,PhD,Software Developer,None,59470,Remote,Software Developer,"Kubernetes, React, Pandas, Data Analysis, SQL",7,Looking for a motivated individual with strong technical and problem-solving skills.,95479,104942,Seattle,0
"React, Machine Learning, Pandas, Docker, SQL",11,High School,"Data Scientist, ML Engineer","None, AWS Certified",133575,New York,Software Developer,"Java, Kubernetes, Pandas",1,Looking for a motivated individual with strong technical and problem-solving skills.,65067,129646,Seattle,0
"Machine Learning, Data Analysis, TensorFlow",6,Master's,ML Engineer,"AWS Certified, Google ML Certificate",64936,Seattle,Backend Engineer,"Node.js, React, SQL, TensorFlow",10,Looking for a motivated individual with strong technical and problem-solving skills.,62609,157195,San Francisco,0
"React, NLP, Deep Learning, AWS, SQL, Docker",1,PhD,AI Researcher,DataCamp DS,129748,Austin,AI Researcher,"Java, Machine Learning, Pandas, Python, Data Analysis",5,Looking for a motivated individual with strong technical and problem-solving skills.,97469,152159,New York,0
"Node.js, Deep Learning, TensorFlow, Pandas, NLP",10,Master's,"Software Developer, AI Researcher",DataCamp DS,127195,Seattle,Data Scientist,"React, SQL, Data Analysis, Deep Learning, Docker",1,Looking for a motivated individual with strong technical and problem-solving skills.,88393,134277,San Francisco,0
"AWS, React, Data Analysis, Python",0,Master's,"AI Researcher, Backend Engineer",None,57343,Seattle,Backend Engineer,"TensorFlow, Data Analysis, AWS, Pandas, Docker",8,Looking for a motivated individual with strong technical and problem-solving skills.,91783,145665,New York,0
"Machine Learning, TensorFlow, AWS",2,PhD,"Data Scientist, Backend Engineer",None,143282,New York,ML Engineer,"Node.js, TensorFlow, AWS",9,Looking for a motivated individual with strong technical and problem-solving skills.,72005,154217,Austin,0
"SQL, Java, Python, Deep Learning",6,Master's,Backend Engineer,None,85902,Seattle,Data Scientist,"Machine Learning, Java, AWS, Deep Learning",3,Looking for a motivated individual with strong technical and problem-solving skills.,72146,136799,Austin,0
"Node.js, Machine Learning, Pandas, Deep Learning, Java, SQL",1,High School,AI Researcher,"Google ML Certificate, AWS Certified",109304,Remote,ML Engineer,"TensorFlow, Java, AWS",6,Looking for a motivated individual with strong technical and problem-solving skills.,95582,133687,San Francisco,0
"AWS, Node.js, Pandas, Deep Learning",10,High School,"Data Scientist, ML Engineer","Google ML Certificate, AWS Certified",129062,Seattle,Software Developer,"SQL, Deep Learning, Docker",6,Looking for a motivated individual with strong technical and problem-solving skills.,70502,135621,New York,0
"Docker, TensorFlow, AWS, SQL, Deep Learning",10,PhD,AI Researcher,"DataCamp DS, AWS Certified",75887,New York,ML Engineer,"Machine Learning, SQL, Java, React, Data Analysis",6,Looking for a motivated individual with strong technical and problem-solving skills.,88374,124798,New York,0
"SQL, React, AWS, Kubernetes, Machine Learning, Python",11,Bachelor's,ML Engineer,AWS Certified,96714,Remote,Software Developer,"Deep Learning, Node.js, Java",1,Looking for a motivated individual with strong technical and problem-solving skills.,93255,108641,Austin,0
"Python, Java, Node.js, Machine Learning, Docker, Deep Learning",8,Bachelor's,Software Developer,Coursera NLP,74746,Seattle,Software Developer,"AWS, Deep Learning, Data Analysis",6,Looking for a motivated individual with strong technical and problem-solving skills.,87111,103142,Seattle,0
"Docker, Kubernetes, AWS",2,PhD,"ML Engineer, AI Researcher",AWS Certified,116358,San Francisco,Backend Engineer,"Machine Learning, Data Analysis, React",4,Looking for a motivated individual with strong technical and problem-solving skills.,89894,104053,San Francisco,0
"Node.js, Pandas, NLP, Data Analysis, SQL, React",12,High School,AI Researcher,"None, AWS Certified",64605,Remote,Data Scientist,"Node.js, Kubernetes, Python, TensorFlow, Java",7,Looking for a motivated individual with strong technical and problem-solving skills.,88964,121194,Austin,0
"AWS, SQL, Data Analysis, Node.js, NLP",11,Bachelor's,Data Scientist,"None, Google ML Certificate",64694,Remote,ML Engineer,"Java, Data Analysis, SQL, NLP",1,Looking for a motivated individual with strong technical and problem-solving skills.,69775,122775,Austin,0
"TensorFlow, Kubernetes, NLP, React, Machine Learning, Docker",12,Master's,ML Engineer,"DataCamp DS, AWS Certified",60931,Remote,ML Engineer,"React, Python, AWS, Kubernetes",2,Looking for a motivated individual with strong technical and problem-solving skills.,99480,143749,Seattle,0
"Pandas, SQL, React, AWS, Data Analysis, NLP",3,Master's,"Data Scientist, AI Researcher",DataCamp DS,105532,Austin,AI Researcher,"Deep Learning, Data Analysis, AWS, Machine Learning",5,Looking for a motivated individual with strong technical and problem-solving skills.,60916,120028,New York,0
"React, Python, Machine Learning",12,High School,AI Researcher,"None, DataCamp DS",114386,Austin,Data Scientist,"Data Analysis, NLP, Machine Learning, Java",7,Looking for a motivated individual with strong technical and problem-solving skills.,81586,111424,Austin,0
"Python, AWS, SQL, Deep Learning, Pandas",10,Master's,"Data Scientist, Backend Engineer","Google ML Certificate, AWS Certified",133670,San Francisco,Data Scientist,"React, Data Analysis, Machine Learning",8,Looking for a motivated individual with strong technical and problem-solving skills.,64495,123796,San Francisco,0
"Data Analysis, Python, NLP",2,Master's,Data Scientist,None,104077,Austin,ML Engineer,"Java, Deep Learning, NLP, SQL",9,Looking for a motivated individual with strong technical and problem-solving skills.,76656,120374,New York,0
"React, Kubernetes, Data Analysis, Deep Learning, Python, Pandas",9,PhD,Software Developer,"Google ML Certificate, AWS Certified",125674,Austin,Software Developer,"SQL, NLP, Data Analysis",2,Looking for a motivated individual with strong technical and problem-solving skills.,71686,116239,Remote,0
"Docker, React, Machine Learning",8,Bachelor's,"Data Scientist, Backend Engineer","DataCamp DS, AWS Certified",148791,San Francisco,AI Researcher,"Node.js, Pandas, Data Analysis, Python",4,Looking for a motivated individual with strong technical and problem-solving skills.,92720,106291,San Francisco,0
"Pandas, React, Data Analysis, Docker",8,Master's,Software Developer,Coursera NLP,132765,Seattle,Backend Engineer,"TensorFlow, Node.js, Java, Kubernetes, SQL",4,Looking for a motivated individual with strong technical and problem-solving skills.,60352,146630,Seattle,0
"React, Python, NLP, Java, Docker",12,Master's,Backend Engineer,Google ML Certificate,134495,New York,Backend Engineer,"Java, Python, React",1,Looking for a motivated individual with strong technical and problem-solving skills.,74148,134873,Remote,1
"Data Analysis, SQL, Kubernetes",2,Bachelor's,"Backend Engineer, ML Engineer",AWS Certified,102154,San Francisco,Data Scientist,"React, Data Analysis, Java, Docker",6,Looking for a motivated individual with strong technical and problem-solving skills.,92609,144222,Austin,0
"Python, React, Java, NLP",8,Master's,Software Developer,AWS Certified,85152,Seattle,Backend Engineer,"AWS, Kubernetes, TensorFlow, NLP, Data Analysis",9,Looking for a motivated individual with strong technical and problem-solving skills.,92564,139283,Austin,0
"NLP, AWS, React, TensorFlow",6,PhD,"AI Researcher, Data Scientist",Google ML Certificate,51318,New York,ML Engineer,"SQL, Deep Learning, Pandas, Docker, Node.js",1,Looking for a motivated individual with strong technical and problem-solving skills.,87472,102033,New York,0
"NLP, AWS, Node.js, Deep Learning",8,PhD,"Data Scientist, AI Researcher","DataCamp DS, Coursera NLP",132295,Austin,ML Engineer,"SQL, NLP, Deep Learning",9,Looking for a motivated individual with strong technical and problem-solving skills.,81717,140010,Remote,0
"Python, NLP, Deep Learning, Pandas, Machine Learning",9,Master's,"ML Engineer, Backend Engineer","DataCamp DS, AWS Certified",108669,New York,AI Researcher,"Kubernetes, SQL, AWS, Deep Learning",3,Looking for a motivated individual with strong technical and problem-solving skills.,71268,115131,San Francisco,0
"Machine Learning, Python, AWS",5,Bachelor's,"Data Scientist, ML Engineer","None, DataCamp DS",100061,Seattle,AI Researcher,"Data Analysis, SQL, Docker",0,Looking for a motivated individual with strong technical and problem-solving skills.,85374,140343,Seattle,0
"NLP, Deep Learning, React",8,Master's,"Data Scientist, ML Engineer","Google ML Certificate, Coursera NLP",68515,Austin,AI Researcher,"Java, React, Pandas, Machine Learning, SQL",9,Looking for a motivated individual with strong technical and problem-solving skills.,96852,154557,Remote,0
"Kubernetes, SQL, Data Analysis",1,High School,"Software Developer, Backend Engineer","AWS Certified, Google ML Certificate",125132,San Francisco,Software Developer,"NLP, Docker, Java, React",4,Looking for a motivated individual with strong technical and problem-solving skills.,63504,118536,New York,0
"Kubernetes, Pandas, TensorFlow, Machine Learning, Deep Learning, Data Analysis",10,PhD,Data Scientist,"AWS Certified, DataCamp DS",136359,Seattle,AI Researcher,"Docker, Deep Learning, Machine Learning",0,Looking for a motivated individual with strong technical and problem-solving skills.,77678,144205,Remote,1
"Machine Learning, AWS, NLP, Data Analysis",3,Bachelor's,"ML Engineer, Data Scientist","Coursera NLP, AWS Certified",137204,Remote,Data Scientist,"NLP, Data Analysis, SQL, Docker, AWS",8,Looking for a motivated individual with strong technical and problem-solving skills.,81905,153878,Austin,0
"Java, NLP, Machine Learning",9,PhD,"Backend Engineer, ML Engineer",Coursera NLP,114383,San Francisco,Data Scientist,"Pandas, Deep Learning, Kubernetes",2,Looking for a motivated individual with strong technical and problem-solving skills.,86914,120083,New York,0
"TensorFlow, Data Analysis, AWS, Machine Learning",9,Master's,Backend Engineer,"None, Google ML Certificate",87135,San Francisco,AI Researcher,"NLP, Kubernetes, Docker, Node.js, TensorFlow",5,Looking for a motivated individual with strong technical and problem-solving skills.,80082,155891,Austin,0
"AWS, NLP, Deep Learning, SQL, Pandas",6,High School,"Software Developer, Backend Engineer","DataCamp DS, AWS Certified",71829,New York,Software Developer,"Machine Learning, Docker, Data Analysis, React, Java",6,Looking for a motivated individual with strong technical and problem-solving skills.,98369,159281,Remote,0
"Data Analysis, SQL, Java, Python",8,Bachelor's,AI Researcher,None,91902,Seattle,AI Researcher,"Kubernetes, Machine Learning, Deep Learning, SQL",4,Looking for a motivated individual with strong technical and problem-solving skills.,68647,115586,Austin,0
"AWS, Java, Docker, Node.js, TensorFlow, SQL",6,Bachelor's,"Software Developer, Backend Engineer","AWS Certified, Google ML Certificate",126775,San Francisco,Software Developer,"Java, Node.js, Data Analysis",7,Looking for a motivated individual with strong technical and problem-solving skills.,74359,133596,San Francisco,0
"React, Python, AWS, Deep Learning",7,PhD,"Data Scientist, ML Engineer","AWS Certified, None",52874,San Francisco,Backend Engineer,"NLP, Python, Machine Learning, Node.js, Docker",5,Looking for a motivated individual with strong technical and problem-solving skills.,87068,130573,Austin,0
"SQL, React, NLP",4,Bachelor's,"AI Researcher, Software Developer",Google ML Certificate,148322,Seattle,Backend Engineer,"AWS, SQL, Node.js",5,Looking for a motivated individual with strong technical and problem-solving skills.,63566,135388,Remote,0
"TensorFlow, SQL, Deep Learning",7,Bachelor's,Software Developer,AWS Certified,61909,Seattle,ML Engineer,"Pandas, TensorFlow, Deep Learning",0,Looking for a motivated individual with strong technical and problem-solving skills.,61984,106773,Seattle,0
"Data Analysis, React, Deep Learning, Java, Kubernetes",5,High School,Software Developer,"DataCamp DS, Google ML Certificate",130422,Remote,Software Developer,"NLP, TensorFlow, Machine Learning",6,Looking for a motivated individual with strong technical and problem-solving skills.,85643,139168,Austin,0
"Pandas, TensorFlow, Python",9,Master's,AI Researcher,"Google ML Certificate, AWS Certified",72791,Seattle,Software Developer,"AWS, Data Analysis, SQL, Docker",2,Looking for a motivated individual with strong technical and problem-solving skills.,83227,126507,New York,0
"Java, Docker, NLP, TensorFlow, Kubernetes, Deep Learning",3,High School,"Backend Engineer, ML Engineer",Coursera NLP,69629,Austin,AI Researcher,"React, Pandas, Machine Learning, SQL",2,Looking for a motivated individual with strong technical and problem-solving skills.,74139,150158,Seattle,0
"Deep Learning, Kubernetes, AWS",4,PhD,"ML Engineer, AI Researcher","Coursera NLP, AWS Certified",78356,New York,Backend Engineer,"Node.js, Python, Kubernetes",2,Looking for a motivated individual with strong technical and problem-solving skills.,62676,109818,Austin,0
"Python, React, NLP",3,Master's,Software Developer,"AWS Certified, None",104366,San Francisco,Backend Engineer,"TensorFlow, Pandas, Machine Learning, AWS",6,Looking for a motivated individual with strong technical and problem-solving skills.,63603,105039,Austin,0
"Node.js, Pandas, React, Docker, Java, Data Analysis",1,PhD,Software Developer,"Coursera NLP, Google ML Certificate",107402,Austin,Backend Engineer,"Data Analysis, React, Pandas",2,Looking for a motivated individual with strong technical and problem-solving skills.,70066,119763,New York,0
"Docker, TensorFlow, Java, Kubernetes, React, Pandas",10,High School,"Data Scientist, AI Researcher","Google ML Certificate, Coursera NLP",109619,Austin,Backend Engineer,"SQL, Python, Node.js, Java",0,Looking for a motivated individual with strong technical and problem-solving skills.,78469,114574,Austin,0
"Machine Learning, React, TensorFlow, SQL, Pandas, NLP",7,PhD,Backend Engineer,"Google ML Certificate, Coursera NLP",147714,New York,Backend Engineer,"Java, Deep Learning, NLP",8,Looking for a motivated individual with strong technical and problem-solving skills.,62739,112670,Seattle,0
"Kubernetes, TensorFlow, Machine Learning, React",3,Bachelor's,"Software Developer, Data Scientist",Coursera NLP,143230,Austin,Data Scientist,"Pandas, NLP, Deep Learning",9,Looking for a motivated individual with strong technical and problem-solving skills.,77193,145076,New York,0
"Java, Kubernetes, Node.js",2,High School,"ML Engineer, Backend Engineer",DataCamp DS,108094,Remote,Software Developer,"NLP, React, AWS, Machine Learning",8,Looking for a motivated individual with strong technical and problem-solving skills.,74156,111391,New York,0
"Machine Learning, Python, Deep Learning, Docker",1,Bachelor's,ML Engineer,Google ML Certificate,55431,Austin,AI Researcher,"Node.js, Docker, Machine Learning, SQL, Kubernetes",6,Looking for a motivated individual with strong technical and problem-solving skills.,93047,154697,Remote,0
"Node.js, Docker, Java",12,Master's,Data Scientist,None,114107,New York,AI Researcher,"Deep Learning, TensorFlow, Machine Learning, Docker, Kubernetes",10,Looking for a motivated individual with strong technical and problem-solving skills.,67246,112038,Remote,0
"Docker, Machine Learning, SQL, Python",9,PhD,Data Scientist,None,105009,Austin,Data Scientist,"Machine Learning, Kubernetes, SQL",8,Looking for a motivated individual with strong technical and problem-solving skills.,66876,134120,Seattle,0
"Python, NLP, Java, Machine Learning, Data Analysis, AWS",4,High School,"Software Developer, Data Scientist",AWS Certified,102257,Remote,ML Engineer,"Data Analysis, AWS, NLP, Machine Learning",6,Looking for a motivated individual with strong technical and problem-solving skills.,72554,130497,San Francisco,0
"Node.js, React, Java, Python",11,Master's,Backend Engineer,None,127704,New York,Data Scientist,"Java, Data Analysis, React, TensorFlow, AWS",1,Looking for a motivated individual with strong technical and problem-solving skills.,97705,159391,San Francisco,0
"Java, Deep Learning, Data Analysis, Node.js, React, SQL",6,Bachelor's,"ML Engineer, Software Developer","Google ML Certificate, DataCamp DS",140679,Austin,Software Developer,"Java, TensorFlow, React",10,Looking for a motivated individual with strong technical and problem-solving skills.,86354,157264,Seattle,0
"Data Analysis, Python, React, Kubernetes, Deep Learning, Pandas",12,PhD,ML Engineer,Google ML Certificate,108739,New York,AI Researcher,"SQL, Docker, TensorFlow, React",1,Looking for a motivated individual with strong technical and problem-solving skills.,74762,141341,San Francisco,0
"Kubernetes, Pandas, React, TensorFlow, Data Analysis",6,PhD,"Backend Engineer, Software Developer","DataCamp DS, Google ML Certificate",76450,New York,Data Scientist,"Data Analysis, Docker, NLP",2,Looking for a motivated individual with strong technical and problem-solving skills.,76891,102356,Remote,0
"Deep Learning, Python, AWS, Kubernetes, Pandas",11,Master's,ML Engineer,AWS Certified,146122,Remote,Data Scientist,"TensorFlow, AWS, Deep Learning, Node.js",9,Looking for a motivated individual with strong technical and problem-solving skills.,86845,150462,Austin,0
"TensorFlow, SQL, NLP, AWS",7,Master's,"AI Researcher, Software Developer",Coursera NLP,77986,New York,Backend Engineer,"Data Analysis, Kubernetes, Node.js",3,Looking for a motivated individual with strong technical and problem-solving skills.,67145,144819,Remote,0
"Deep Learning, TensorFlow, Docker, React, Machine Learning",11,Master's,"Software Developer, ML Engineer","None, Coursera NLP",55109,Austin,Backend Engineer,"Kubernetes, Deep Learning, React",2,Looking for a motivated individual with strong technical and problem-solving skills.,99492,117033,Remote,0
"SQL, Kubernetes, Data Analysis",6,Bachelor's,"AI Researcher, Data Scientist",None,131117,San Francisco,Software Developer,"Docker, Node.js, Python, NLP, AWS",1,Looking for a motivated individual with strong technical and problem-solving skills.,71584,131634,Austin,0
"NLP, Deep Learning, Node.js, Java, AWS, Kubernetes",6,High School,"Backend Engineer, ML Engineer",AWS Certified,117439,Austin,AI Researcher,"Node.js, React, Data Analysis, Deep Learning",9,Looking for a motivated individual with strong technical and problem-solving skills.,80634,154118,Austin,0
"Docker, Java, Kubernetes, AWS, Pandas, NLP",1,High School,"ML Engineer, Software Developer",Coursera NLP,148621,San Francisco,Software Developer,"Node.js, Machine Learning, Kubernetes, Pandas, Deep Learning",4,Looking for a motivated individual with strong technical and problem-solving skills.,65515,157406,Remote,0
"Machine Learning, Pandas, Data Analysis",2,High School,"AI Researcher, Backend Engineer","DataCamp DS, AWS Certified",75199,Remote,Data Scientist,"Docker, React, Deep Learning, Python, Pandas",8,Looking for a motivated individual with strong technical and problem-solving skills.,77588,129643,Seattle,0
"Machine Learning, TensorFlow, SQL",9,PhD,"Data Scientist, Software Developer","AWS Certified, Google ML Certificate",130680,Seattle,ML Engineer,"NLP, SQL, Data Analysis, Docker",7,Looking for a motivated individual with strong technical and problem-solving skills.,97669,147995,New York,0
"NLP, Pandas, TensorFlow, Node.js, Deep Learning, AWS",1,Bachelor's,"Data Scientist, AI Researcher",None,57878,Seattle,Backend Engineer,"Python, TensorFlow, Pandas",5,Looking for a motivated individual with strong technical and problem-solving skills.,87288,145693,Remote,0
"Java, Deep Learning, Kubernetes, TensorFlow, Node.js, SQL",10,High School,"ML Engineer, AI Researcher",Google ML Certificate,110177,Austin,Software Developer,"Machine Learning, AWS, Java, Python",4,Looking for a motivated individual with strong technical and problem-solving skills.,60247,158131,New York,0
